,MajorAxisLength,MinorAxisLength,ConvexArea,Perimeter,Area_imputed,Eccentricity_imputed,Extent_imputed,target,MajorAxisLength_,ConvexArea_,Perimeter_
0,442.2460114,253.291155,90546,1184.04,87524,0.819738392,0.758650579,0,long,large,short
1,406.690687,243.0324363,78789,1121.786,75166,0.801805234,0.68412957,0,long,small,short
2,442.2670483,266.3283177,93717,1208.575,90856,0.798353619,0.637612812,0,long,large,long
3,286.5405586,208.7600423,47336,844.162,45928,0.684989217,0.699599385,0,short,small,short
4,352.1907699,290.8275329,81463,1073.251,79408,0.56401133,0.792771926,0,short,large,short
5,318.125407,200.12212,51368,881.836,49242,0.777351277,0.658456354,0,short,small,short
6,310.1460715,176.1314494,43904,823.796,42492,0.823098681,0.665893562,0,short,small,short
7,332.4554716,235.429835,62329,933.366,60952,0.706057518,0.74359819,0,short,small,short
8,323.1896072,172.5759261,44743,849.728,42256,0.845498789,0.698030924,0,short,small,short
9,366.9648423,227.7716147,66125,981.544,64380,0.784055626,0.664375716,0,short,small,short
10,449.4545811,232.3255064,84460,1176.305,80437,0.856042518,0.674235757,0,long,large,short
11,301.3222176,186.9506295,45021,818.873,43725,0.784258452,0.697068248,0,short,small,short
12,276.6108288,201.8131355,45133,803.748,43441,0.683882337,0.690855598,0,short,small,short
13,338.8575454,291.3592017,78842,1042.77,76792,0.510583813,0.772322237,0,short,small,short
14,387.7989307,247.8581228,76807,1084.729,74167,0.769089738,0.680181585,0,short,small,short
15,261.5543311,167.7084908,35794,751.413,33565,0.767374275,0.68155052,0,short,small,short
16,403.0839752,206.4846437,66419,1028.445,64670,0.858829168,0.75677257,0,long,small,short
17,354.2939396,235.7524629,66713,981.509,64762,0.746473726,0.694998015,0,short,small,short
18,304.2844667,182.8110368,44714,814.68,43295,0.799406959,0.713838189,0,short,small,short
19,418.6985723,216.5960537,72363,1061.321,70699,0.855799392,0.728075054,0,long,small,short
20,354.1769124,252.529208,71849,1035.501,69726,0.701160962,0.734398534,0,short,small,short
21,443.4929899,293.3841689,104508,1238.627,101618,0.749918202,0.750241792,1,long,large,long
22,351.2037065,197.2136417,56030,934.49,53325,0.827452081,0.706141745,1,short,small,short
23,455.6058765,311.1711176,112497,1306.577,108314,0.730434168,0.686944665,1,long,large,long
24,514.7145466,277.879091,114995,1370.914,111056,0.841748223,0.670785994,1,long,large,long
25,662.7137696,275.4396927,148697,1622.58,142069,0.909536563,0.732276687,1,long,large,long
26,694.2475503,411.810369,225916,1812.569,223075,0.805073466,0.764940471,1,long,large,long
27,452.9265064,268.7630536,97428,1222.886,93234,0.804913476,0.715906997,1,long,large,long
28,573.5417738,295.4230955,135814,1457.016,131811,0.857138757,0.71150732,1,long,large,long
29,615.2108745,346.7022458,170954,1635.791,165681,0.826081781,0.735823666,1,long,large,long
30,481.5643732,253.8467812,97623,1225.352,95364,0.849784975,0.737951528,1,long,large,long
31,430.0773077,247.8386945,85839,1129.072,83248,0.817262582,0.66879293,1,long,large,short
32,651.0028073,299.7432602,155494,1633.723,147843,0.887694392,0.719325646,1,long,large,long
33,407.9403285,245.8211977,79715,1068.727,78632,0.798050128,0.689010979,1,long,small,short
34,445.2461201,217.6202412,76157,1147.6,73294,0.872416085,0.654434087,1,long,small,short
35,440.5599708,243.6365121,88806,1238.163,83059,0.833170935,0.685808886,1,long,large,long
36,555.9210209,332.1238891,149076,1506.255,144084,0.801921074,0.729421056,1,long,large,long
37,485.4521433,243.0800284,95741,1244.563,91665,0.865604032,0.700032075,1,long,large,long
38,520.3266122,289.6619857,121057,1374.171,117354,0.83071856,0.712064948,1,long,large,long
39,659.4426082,249.5447658,132802,1552.54,126781,0.925634934,0.73666198,1,long,large,long
40,575.6823646,316.6212427,144300,1507.939,141220,0.835169296,0.659151906,1,long,large,long
41,420.350624,275.8810121,90768,1172.642,84855,0.754489905,0.673805327,1,long,large,short
